  PYTHIA EVENT FILE 
 ============================================
I, ievent, genevent, subprocess, nucleon,                 targetparton, xtargparton, beamparton, xbeamparton,               thetabeamprtn, truey, trueQ2, truex, trueW2, trueNu, leptonphi,   s_hat, t_hat, u_hat, pt2_hat, Q2_hat, F2, F1, R, sigma_rad,       SigRadCor, EBrems, photonflux, t-diff, nrTracks
 ============================================
  I  K(I,1)  K(I,2)  K(I,3)  K(I,4)  K(I,5)            P(I,1)  P(I,2)  P(I,3)  P(I,4)  P(I,5)  V(I,1)  V(I,2)  V(I,3)
 ============================================
   0          1    1   11 2212          1  0.090137            2     0.675612     0.020557      0.12768118372        0.36923664808        0.00289160968      128.20353698730       68.04673767090        0.81982322395        7.80732071755          -2.032443749          -5.774876969           1.503347053           1.503347053           0.168718189          21.978286743           0.314736209           0.002304333           1.466787457           0.000000000           0.621129390          -2.032443749             52
 ============================================
    41      1       -211       25        0        0       -0.283681        0.096403        0.678979        0.755156        0.139570        0.000000        0.000000        0.000000
    42      1        211       25        0        0        0.177470        0.321057        1.018489        1.091500        0.139570        0.000000        0.000000        0.000000
    43      1        211       26        0        0        0.372751       -0.471762        1.411882        1.540907        0.139570        0.000000        0.000000        0.000000
    44     11        111       26       55       56       -0.142725       -0.115530        0.044240        0.232152        0.134980        0.000000        0.000000        0.000000
    45     11        431       28       57       59        0.475387       -0.343091        5.706147        6.064553        1.968500        0.000000        0.000000        0.000000
    46      1         22       28        0        0        0.084356       -0.115347        0.836491        0.848609        0.000000        0.000000        0.000000        0.000000
    47      1       -321       29        0        0       -0.379068       -0.030343        3.217656        3.277433        0.493600        0.000000        0.000000        0.000000
    48     11        111       29       60       61       -0.439600        0.253337        1.410757        1.505285        0.134980        0.000000        0.000000        0.000000
    49      1        211       30        0        0       -0.331374       -0.486894        4.600748        4.640392        0.139570        0.000000        0.000000        0.000000
    50      1       -211       30        0        0        0.289410       -0.139920        0.859495        0.928196        0.139570        0.000000        0.000000        0.000000
    51      1         22       35        0        0        0.078333       -0.155779        0.120830        0.212139        0.000000       -0.002972        0.006006        0.040214
    52      1         22       35        0        0        0.081047       -0.039520        0.189399        0.209767        0.000000       -0.002972        0.006006        0.040214
    53      1         22       36        0        0        0.135206       -0.290598        0.408490        0.519222        0.000000       -0.002935        0.005886        0.040403
    54      1         22       36        0        0       -0.014983        0.002513        0.045892        0.048342        0.000000       -0.002935        0.005886        0.040403
    55      1         22       44        0        0       -0.068048       -0.090171        0.086867        0.142503        0.000000       -0.000062       -0.000050        0.000019
    56      1         22       44        0        0       -0.074677       -0.025359       -0.042627        0.089648        0.000000       -0.000062       -0.000050        0.000019
    57     11        111       45       62       63        0.035242        0.042551        0.424395        0.448758        0.134980        0.015490       -0.011179        0.185932
    58     11        213       45       64       65        0.102020       -0.096804        1.847131        2.005927        0.769463        0.015490       -0.011179        0.185932
    59     11        333       45       66       67        0.338125       -0.288838        3.434621        3.609868        1.018220        0.015490       -0.011179        0.185932
    60      1         22       48        0        0       -0.260808        0.224010        0.915513        0.977939        0.000000       -0.000148        0.000085        0.000473
    61      1         22       48        0        0       -0.178793        0.029327        0.495244        0.527345        0.000000       -0.000148        0.000085        0.000473
    62      1         22       57        0        0       -0.045030        0.047237        0.201246        0.211564        0.000000        0.015495       -0.011174        0.185990
    63      1         22       57        0        0        0.080272       -0.004686        0.223149        0.237194        0.000000        0.015495       -0.011174        0.185990
    64      1        211       58        0        0        0.327185        0.171067        0.768294        0.863753        0.139570        0.015490       -0.011179        0.185932
    65     11        111       58       68       69       -0.225165       -0.267871        1.078837        1.142175        0.134980        0.015490       -0.011179        0.185932
    66      1        130       59        0        0        0.135326       -0.133453        2.008591        2.078037        0.497670        0.015490       -0.011179        0.185932
    67     11        310       59       70       71        0.202798       -0.155384        1.426029        1.531831        0.497670        0.015490       -0.011179        0.185932
    68      1         22       65        0        0       -0.197033       -0.152791        0.619171        0.667488        0.000000        0.015398       -0.011289        0.186373
    69      1         22       65        0        0       -0.028131       -0.115080        0.459666        0.474687        0.000000        0.015398       -0.011289        0.186373
    70      1        211       67        0        0        0.270715        0.038002        0.884038        0.935806        0.139570        5.505045       -4.217281       38.787156
    71      1       -211       67        0        0       -0.067917       -0.193386        0.541992        0.596025        0.139570        5.505045       -4.217281       38.787156
    72     55         22        1        0        0        0.006690       -0.011900       -0.064148        0.065585        0.000000        0.000000        0.000000        0.000000
 =============== Event finished ===============
   0          4    1   95 2212         21  0.000000           21     0.000000     0.000000      0.13705465446        0.12335542589        0.00089996628      137.82371520996       73.04225921631        2.21563301431        0.00000000000           0.000000000           0.000000000           0.000000000           0.000000000           0.076397017          33.954803467           0.404339097           0.003100931           1.618620992           0.000000000           0.620777446           0.000000000             51
 ============================================
     1     21         11        0        3        4        0.000000        0.000000       -5.000000        5.000000        0.000510        0.000000        0.000000        0.000000
     2     21       2212        0        5        0       -0.000000        0.000000       50.000000       50.008803        0.938270        0.000000        0.000000        0.000000
     3     21         11        1        0        0        0.196108        0.260751       -4.308558        4.320894        0.000510        0.000000        0.000000        0.000000
     4     21         22        1        0        0       -0.196108       -0.260751       -0.691442        0.679106       -0.351220        0.000000        0.000000        0.000000
     5     21       2212        2        0        0       -0.000000       -0.000000       50.000000       50.008803        0.938270        0.000000        0.000000        0.000000
     6     21         21        4        0        0        0.000000        0.000000        0.000000        0.000000        0.000000        0.000000        0.000000        0.000000
     7     21         21        5        0        0        0.000000        0.000000        0.000000        0.000000        0.000000        0.000000        0.000000        0.000000
     8     21         21        6        0        0        0.000000        0.000000        0.000000        0.000000        0.000000        0.000000        0.000000        0.000000
     9     21         21        7        0        0        0.000000        0.000000        0.000000        0.000000        0.000000        0.000000        0.000000        0.000000
    10     21         21        0        0        0        0.000000        0.000000        0.000000        0.000000        0.000000        0.000000        0.000000        0.000000
    11     21         21        0        0        0        0.000000        0.000000        0.000000        0.000000        0.000000        0.000000        0.000000        0.000000
    12      1         11        3        0        0        0.196108        0.260751       -4.308558        4.320894        0.000510        0.000000        0.000000        0.000000
    13     12         -2        4       17       17       -0.032131       -0.511131       -0.006970        0.609291        0.330000        0.000000        0.000000        0.000000
    14     11          2        5       17       17        0.263887       -0.161472        8.911264        8.922737        0.330000        0.000000        0.000000        0.000000
    15     12          2        4       21       21       -0.162367        0.252520       -0.237644        0.505474        0.330000        0.000000        0.000000        0.000000
    16     11       2103        5       21       21       -0.265496        0.159333       40.641908       40.650406        0.771330        0.000000        0.000000        0.000000
    17     11         92       13       18       20        0.231756       -0.672603        8.904295        9.532028        3.326710        0.000000        0.000000        0.000000
    18      1       -211       17        0        0        0.059310       -0.379110        2.702262        2.732937        0.139570        0.000000        0.000000        0.000000
    19     11        331       17       28       30       -0.436809       -0.500341        1.134027        1.626349        0.958045        0.000000        0.000000        0.000000
    20     11        213       17       31       32        0.609256        0.206848        5.068005        5.172743        0.811549        0.000000        0.000000        0.000000
    21     11         92       15       22       27       -0.427864        0.411853       40.404264       41.155880        7.807001        0.000000        0.000000        0.000000
    22     11        111       21       33       34       -0.065369       -0.410080        1.468469        1.532012        0.134980        0.000000        0.000000        0.000000
    23      1       2212       21        0        0       -0.025078        0.435735        1.583936        1.892009        0.938270        0.000000        0.000000        0.000000
    24      1      -2212       21        0        0        0.082136        0.755012        5.316975        5.452280        0.938270        0.000000        0.000000        0.000000
    25      1        211       21        0        0        0.220115       -0.671193        1.542299        1.702092        0.139570        0.000000        0.000000        0.000000
    26     11        221       21       35       37       -0.008141        0.560352        8.718672        8.753799        0.547450        0.000000        0.000000        0.000000
    27     11       2114       21       38       39       -0.631526       -0.257973       21.773913       21.823688        1.305640        0.000000        0.000000        0.000000
    28      1       -211       19        0        0       -0.064608       -0.011160        0.070961        0.169747        0.139570        0.000000        0.000000        0.000000
    29      1        211       19        0        0       -0.092303        0.044080        0.266671        0.317893        0.139570        0.000000        0.000000        0.000000
    30     11        221       19       40       41       -0.279898       -0.533262        0.796396        1.138709        0.547450        0.000000        0.000000        0.000000
    31      1        211       20        0        0       -0.147490        0.087719        1.794772        1.808352        0.139570        0.000000        0.000000        0.000000
    32     11        111       20       42       43        0.756745        0.119129        3.273233        3.364391        0.134980        0.000000        0.000000        0.000000
    33      1         22       22        0        0       -0.023274       -0.199620        0.947196        0.968282        0.000000       -0.000002       -0.000014        0.000052
    34      1         22       22        0        0       -0.042096       -0.210460        0.521273        0.563729        0.000000       -0.000002       -0.000014        0.000052
    35     11        111       26       44       45        0.046230        0.074043        2.430922        2.436231        0.134980        0.000000        0.000000        0.000000
    36     11        111       26       46       47        0.046634        0.068553        1.332463        1.341846        0.134980        0.000000        0.000000        0.000000
